City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Narsaq,GL,60.9167,-46.05,17.6,48,2,1.12,clear sky
113,Port Alfred,ZA,-33.5906,26.891,77.0,80,51,5.01,broken clouds
114,Goedereede,NL,51.8175,3.9806,37.0,80,80,5.99,broken clouds
115,College,US,64.8569,-147.8028,-14.8,75,1,2.01,clear sky
116,Carnarvon,AU,-24.8667,113.6333,87.8,52,81,14.99,broken clouds
117,Leningradskiy,RU,69.3833,178.4167,-8.99,88,100,8.97,overcast clouds
118,Tucuma,BR,-0.1833,-50.05,76.78,87,4,5.5,clear sky
119,Sao Filipe,CV,14.8961,-24.4956,77.07,66,73,7.7,broken clouds
120,Zambezi,ZM,-13.5432,23.1047,81.07,68,79,3.22,moderate rain
121,Santa Barbara,US,34.7333,-120.0343,46.4,93,1,3.31,clear sky
122,Great Yarmouth,GB,52.6083,1.7305,39.99,86,75,10.29,broken clouds
123,Severo-Kurilsk,RU,50.6789,156.125,16.39,90,69,14.92,broken clouds
124,Clyde River,CA,70.4692,-68.5914,-22.0,74,90,3.36,light snow
125,Puerto Ayora,EC,-0.7393,-90.3518,69.01,95,47,1.01,scattered clouds
126,Nikolskoye,RU,59.7035,30.7861,28.4,92,90,8.95,overcast clouds
127,Glendive,US,47.1053,-104.7125,19.4,92,1,6.93,clear sky
128,Banyo,CM,6.75,11.8167,89.04,12,0,10.25,clear sky
129,East London,ZA,-33.0153,27.9116,77.0,57,20,10.29,few clouds
130,Clearwater,US,27.9659,-82.8001,55.4,66,0,10.71,clear sky
131,Cayenne,GF,4.9333,-52.3333,75.2,100,42,1.12,scattered clouds
132,Laguna,US,38.421,-121.4238,39.99,93,1,2.68,mist
133,Khuzdar,PK,27.7384,66.6434,56.98,30,0,1.72,clear sky
134,Port Lincoln,AU,-34.7333,135.8667,61.66,78,1,20.31,clear sky
135,Saskylakh,RU,71.9167,114.0833,2.5,91,98,24.54,overcast clouds
136,Komsomolskiy,UZ,40.4272,71.7189,23.0,73,75,4.7,mist
137,Aksarka,RU,66.5606,67.7975,-13.97,88,79,16.67,broken clouds
138,Cidreira,BR,-30.1811,-50.2056,73.44,91,100,8.61,overcast clouds
139,Korla,CN,41.7597,86.1469,18.45,76,100,9.8,overcast clouds
140,Suntar,RU,62.1444,117.6319,-17.5,87,100,8.86,overcast clouds
