City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Lavrentiya,RU,2021-01-05 04:10:25,65.58,-171.0,-7.55,88,13,9.93
184,Magistralnyy,RU,2021-01-05 04:10:26,56.17,107.45,-24.25,81,100,1.32
185,Goderich,CA,2021-01-05 04:10:26,43.75,-81.72,33.8,74,100,9.17
186,Te Anau,NZ,2021-01-05 04:10:27,-45.42,167.72,55.94,83,93,4.27
187,Mnogovershinnyy,RU,2021-01-05 04:10:27,53.94,139.92,-15.45,89,100,7.63
188,Esperance,AU,2021-01-05 04:10:27,-33.87,121.9,71.6,43,40,14.99
189,Manuk Mangkaw,PH,2021-01-05 04:10:28,4.8,119.85,80.91,72,53,2.73
190,Ahar,IR,2021-01-05 04:10:28,38.48,47.07,17.53,81,0,3.94
191,Togur,RU,2021-01-05 04:10:28,58.36,82.83,-25.89,85,12,1.25
192,Georgetown,MY,2021-01-05 04:09:02,5.41,100.34,84.0,78,40,9.17
193,Koscierzyna,PL,2021-01-05 04:10:29,54.12,17.98,32.0,97,90,11.41
194,Naron,ES,2021-01-05 04:10:29,43.52,-8.15,37.0,100,90,4.7
195,Kabin Buri,TH,2021-01-05 04:10:29,13.95,101.72,85.98,43,2,6.87
196,Kurilsk,RU,2021-01-05 04:10:29,45.23,147.88,21.34,88,99,22.06
197,Port Elizabeth,ZA,2021-01-05 04:06:40,-33.92,25.57,71.6,100,90,5.82
198,Avera,US,2021-01-05 04:10:30,33.19,-82.53,39.2,100,1,6.98
199,Bulawayo,ZW,2021-01-05 04:10:30,-20.15,28.58,63.48,91,0,4.97
200,Tilichiki,RU,2021-01-05 04:10:30,60.47,166.1,-16.58,89,21,10.36
201,Aksarka,RU,2021-01-05 04:10:31,66.56,67.8,-16.85,88,86,13.62
202,Maniitsoq,GL,2021-01-05 04:10:31,65.42,-52.9,21.06,97,100,14.52
203,Gidam,IN,2021-01-05 04:10:31,18.98,81.4,76.37,38,47,3.13
